Domain,Type,Sponsoring Organisation,Date
.credit,generic,"Snow Shadow, LLC",2023-10-30
.creditcard,generic,"Binky Frostbite, LLC",2023-10-30
.cricket,generic,dot Cricket Limited,2023-10-30
.crs,generic,Federated Co-operatives Limited,2023-10-30
.cruises,generic,"Spring Way, LLC",2023-10-30
.cuisinella,generic,SALM S.A.S.,2023-10-30
.cymru,generic,Nominet UK,2023-10-30
.cyou,generic,"Beijing Gamease Age Digital Technology Co., Ltd.",2023-10-30
.dabur,generic,Dabur India Limited,2023-10-30
.dad,generic,Charleston Road Registry Inc.,2023-10-30
.dance,generic,United TLD Holdco Ltd.,2023-10-30
.date,generic,dot Date Limited,2023-10-30
.dating,generic,"Pine Fest, LLC",2023-10-30
.datsun,generic,"NISSAN MOTOR CO., LTD.",2023-10-30
.day,generic,Charleston Road Registry Inc.,2023-10-30
.dclk,generic,Charleston Road Registry Inc.,2023-10-30
.deals,generic,"Sand Sunset, LLC",2023-10-30
.degree,generic,"United TLD Holdco, Ltd",2023-10-30
.delivery,generic,"Steel Station, LLC",2023-10-30
.democrat,generic,United TLD Holdco Ltd.,2023-10-30
.dental,generic,"Tin Birch, LLC",2023-10-30
.dentist,generic,"United TLD Holdco, Ltd",2023-10-30
.desi,generic,Desi Networks LLC,2023-10-30
.design,generic,"Top Level Design, LLC",2023-10-30
.dev,generic,Charleston Road Registry Inc.,2023-10-30
.diamonds,generic,"John Edge, LLC",2023-10-30
.diet,generic,"Uniregistry, Corp.",2023-10-30
.digital,generic,"Dash Park, LLC",2023-10-30
.direct,generic,"Half Trail, LLC",2023-10-30
.directory,generic,"Extra Madison, LLC",2023-10-30
.discount,generic,"Holly Hill, LLC",2023-10-30
.dnp,generic,"Dai Nippon Printing Co., Ltd.",2023-10-30
.docs,generic,Charleston Road Registry Inc.,2023-10-30
.doha,generic,Communications Regulatory Authority (CRA),2023-10-30
.domains,generic,"Sugar Cross, LLC",2023-10-30
