Domain,Type,Sponsoring Organisation,Date
.training,generic,"Wild Willow, LLC",2023-10-30
.trust,generic,Artemis Internet Inc,2023-10-30
.tui,generic,TUI AG,2023-10-30
.university,generic,"Little Station, LLC",2023-10-30
.uno,generic,Dot Latin LLC,2023-10-30
.uol,generic,UBN INTERNET LTDA.,2023-10-30
.vacations,generic,"Atomic Tigers, LLC",2023-10-30
.vegas,generic,"Dot Vegas, Inc.",2023-10-30
.ventures,generic,"Binky Lake, LLC",2023-10-30
.versicherung,generic,dotversicherung-registry GmbH,2023-10-30
.vet,generic,"United TLD Holdco, Ltd",2023-10-30
.viajes,generic,"Black Madison, LLC",2023-10-30
.video,generic,"United TLD Holdco, Ltd",2023-10-30
.villas,generic,"New Sky, LLC",2023-10-30
.vision,generic,"Koko Station, LLC",2023-10-30
.vlaanderen,generic,DNS.be vzw,2023-10-30
.vodka,generic,Top Level Domain Holdings Limited,2023-10-30
.vote,generic,Monolith Registry LLC,2023-10-30
.voting,generic,Valuetainment Corp.,2023-10-30
.voto,generic,Monolith Registry LLC,2023-10-30
.voyage,generic,"Ruby House, LLC",2023-10-30
.wales,generic,Nominet UK,2023-10-30
.wang,generic,Zodiac Registry Limited,2023-10-30
.watch,generic,"Sand Shadow, LLC",2023-10-30
.webcam,generic,dot Webcam Limited,2023-10-30
.website,generic,DotWebsite Inc.,2023-10-30
.wed,generic,"Atgron, Inc.",2023-10-30
.wedding,generic,Top Level Domain Holdings Limited,2023-10-30
.whoswho,generic,Who's Who Registry,2023-10-30
.wien,generic,punkt.wien GmbH,2023-10-30
.wiki,generic,"Top Level Design, LLC",2023-10-30
.williamhill,generic,William Hill Organization Limited,2023-10-30
.win,generic,First Registry Limited,2023-10-30
.wme,generic,"William Morris Endeavor Entertainment, LLC",2023-10-30
.work,generic,Top Level Domain Holdings Limited,2023-10-30
.works,generic,"Little Dynamite, LLC",2023-10-30
.world,generic,"Bitter Fields, LLC",2023-10-30
.wtc,generic,"World Trade Centers Association, Inc.",2023-10-30
.wtf,generic,"Hidden Way, LLC",2023-10-30
.xin,generic,Elegant Leader Limited,2023-10-30
.佛山,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-10-30
.慈善,generic,Excellent First Limited,2023-10-30
.集团,generic,Eagle Horizon Limited,2023-10-30
.在线,generic,TLD REGISTRY LIMITED,2023-10-30
.八卦,generic,Zodiac Scorpio Limited,2023-10-30
.موقع,generic,Suhub Electronic Establishment,2023-10-30
.公益,generic,China Organizational Name Administration Center,2023-10-30
.公司,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-10-30
.移动,generic,Afilias Limited,2023-10-30
.我爱你,generic,Tycoon Treasure Limited,2023-10-30
.москва,generic,Foundation for Assistance for Internet Technologies and Infrastructure Development (FAITID),2023-10-30
.онлайн,generic,CORE Association,2023-10-30
.сайт,generic,CORE Association,2023-10-30
.时尚,generic,RISE VICTORY LIMITED,2023-10-30
.淡马锡,generic,Temasek Holdings (Private) Limited,2023-10-30
.орг,generic,Public Interest Registry,2023-10-30
.삼성,generic,"SAMSUNG SDS CO., LTD",2023-10-30
.商标,generic,HU YI GLOBAL INFORMATION RESOURCES(HOLDING) COMPANY.HONGKONG LIMITED,2023-10-30
.商店,generic,"Wild Island, LLC",2023-10-30
.商城,generic,Zodiac Aquarius Limited,2023-10-30
.дети,generic,The Foundation for Network Initiatives “The Smart Internet”,2023-10-30
.中文网,generic,TLD REGISTRY LIMITED,2023-10-30
.中信,generic,CITIC Group Corporation,2023-10-30
.谷歌,generic,Charleston Road Registry Inc.,2023-10-30
.网店,generic,Zodiac Libra Limited,2023-10-30
.संगठन,generic,Public Interest Registry,2023-10-30
.网络,generic,Computer Network Information Center of Chinese Academy of Sciences （China Internet Network Information Center）,2023-10-30
.飞利浦,generic,Koninklijke Philips N.V.,2023-10-30
.手机,generic,"Beijing RITT-Net Technology Development Co., Ltd",2023-10-30
.بازار,generic,CORE Association,2023-10-30
.政府,generic,"Net-Chinese Co., Ltd.",2023-10-30
.شبكة,generic,International Domain Registry Pty. Ltd.,2023-10-30
.机构,generic,Public Interest Registry,2023-10-30
.组织机构,generic,Public Interest Registry,2023-10-30
.健康,generic,Stable Tone Limited,2023-10-30
.рус,generic,Rusnames Limited,2023-10-30
.みんな,generic,Charleston Road Registry Inc.,2023-10-30
.グーグル,generic,Charleston Road Registry Inc.,2023-10-30
.世界,generic,Stable Tone Limited,2023-10-30
.网址,generic,"KNET Co., Ltd",2023-10-30
.游戏,generic,"Spring Fields, LLC",2023-10-30
.vermögensberater,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.vermögensberatung,generic,Deutsche Vermögensberatung Aktiengesellschaft DVAG,2023-10-30
.企业,generic,"Dash McCook, LLC",2023-10-30
.信息,generic,"Beijing Tele-info Network Technology Co., Ltd.",2023-10-30
.广东,generic,"Guangzhou YU Wei Information Technology Co., Ltd.",2023-10-30
.政务,generic,China Organizational Name Administration Center,2023-10-30
.xyz,generic,XYZ.COM LLC,2023-10-30
.yachts,generic,"DERYachts, LLC",2023-10-30
.yandex,generic,"YANDEX, LLC",2023-10-30
.yodobashi,generic,"YODOBASHI CAMERA CO.,LTD.",2023-10-30
.yoga,generic,Top Level Domain Holdings Limited,2023-10-30
.yokohama,generic,"GMO Registry, Inc.",2023-10-30
.youtube,generic,Charleston Road Registry Inc.,2023-10-30
.zip,generic,Charleston Road Registry Inc.,2023-10-30
.zone,generic,"Outer Falls, LLC",2023-10-30
.zuerich,generic,Kanton Zürich (Canton of Zurich),2023-10-30
